what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1623341644201
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1623341647745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1623341648965
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1623341648965
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1623341652077
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1623341652077
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1623341652108
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1623341652146
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1623341652208
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1623341652362
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1623341661323
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1623341683653
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1623341690882
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1623341690998
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1623341691067
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1623341702831
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1623341720925
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1623341722274
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1623341733707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1623341734792
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1623341734845
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1623341736632
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1623341736816
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1623341736994
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1623343041077
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1623343041077
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1623343041077
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1623343041077
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1623343041077
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1623343041077
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1623343041077
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1623343041077
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1623343041077
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1623343041077
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1623343041077
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1623343041077
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1623343041077
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1623343041077
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1623343041077
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1623343041077
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1623343041077
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1623343041093
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1623343041093
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1623343041093
